,trackName,artistName,count,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
748,Things I Say When You Sleep,Nina Nesbitt,6,0.502,0.243,4.0,-12.503,0.0,0.14,0.727,0.0,0.292,0.143,77.329,audio_features,4gn69WfAgLUI2yl8U4Prjd,spotify:track:4gn69WfAgLUI2yl8U4Prjd,https://api.spotify.com/v1/tracks/4gn69WfAgLUI2yl8U4Prjd,https://api.spotify.com/v1/audio-analysis/4gn69WfAgLUI2yl8U4Prjd,216160.0,5.0
749,Line Without a Hook (feat. mxmtoon),Ricky Montgomery,6,0.589,0.605,8.0,-7.237,1.0,0.0273,0.0658,0.0,0.332,0.503,95.084,audio_features,4dHdqpGaO9km4TEw9nNQSR,spotify:track:4dHdqpGaO9km4TEw9nNQSR,https://api.spotify.com/v1/tracks/4dHdqpGaO9km4TEw9nNQSR,https://api.spotify.com/v1/audio-analysis/4dHdqpGaO9km4TEw9nNQSR,251281.0,3.0
750,Madwoman,Annika Bennett,6,0.584,0.397,0.0,-8.703,1.0,0.0417,0.798,0.00122,0.328,0.519,154.015,audio_features,4m9W0S0DHx4uGnsgDc5xgl,spotify:track:4m9W0S0DHx4uGnsgDc5xgl,https://api.spotify.com/v1/tracks/4m9W0S0DHx4uGnsgDc5xgl,https://api.spotify.com/v1/audio-analysis/4m9W0S0DHx4uGnsgDc5xgl,197885.0,4.0
751,Heaven's Not Too Far,We Three,6,0.468,0.415,9.0,-6.583,1.0,0.0304,0.399,0.0,0.0978,0.146,116.724,audio_features,1Gqfs4JkerbpDyS0mCzzs9,spotify:track:1Gqfs4JkerbpDyS0mCzzs9,https://api.spotify.com/v1/tracks/1Gqfs4JkerbpDyS0mCzzs9,https://api.spotify.com/v1/audio-analysis/1Gqfs4JkerbpDyS0mCzzs9,242747.0,4.0
752,saw ur mom at the grocery store,Abby Cates,6,0.479,0.393,7.0,-7.883,1.0,0.0502,0.443,3.55e-05,0.119,0.208,140.133,audio_features,3Ax7eKZ1Mgov2hn5LzCB9U,spotify:track:3Ax7eKZ1Mgov2hn5LzCB9U,https://api.spotify.com/v1/tracks/3Ax7eKZ1Mgov2hn5LzCB9U,https://api.spotify.com/v1/audio-analysis/3Ax7eKZ1Mgov2hn5LzCB9U,253968.0,4.0
753,Lights - Single Version,Ellie Goulding,6,0.683,0.789,8.0,-6.132,0.0,0.0353,0.0283,0.0492,0.112,0.809,120.013,audio_features,7gUpO6td4OOnu0Lf9vhcIV,spotify:track:7gUpO6td4OOnu0Lf9vhcIV,https://api.spotify.com/v1/tracks/7gUpO6td4OOnu0Lf9vhcIV,https://api.spotify.com/v1/audio-analysis/7gUpO6td4OOnu0Lf9vhcIV,211800.0,4.0
754,Have I Ever Been,Jasmine Jethwa,6,0.56,0.366,2.0,-8.759,1.0,0.0319,0.928,6.89e-06,0.132,0.316,62.653,audio_features,2myy3lzRU87HPV9Gxs9ddQ,spotify:track:2myy3lzRU87HPV9Gxs9ddQ,https://api.spotify.com/v1/tracks/2myy3lzRU87HPV9Gxs9ddQ,https://api.spotify.com/v1/audio-analysis/2myy3lzRU87HPV9Gxs9ddQ,173197.0,4.0
755,landslide,Tiny Habits,6,0.463,0.256,1.0,-8.857,1.0,0.0293,0.835,2.82e-05,0.108,0.303,80.044,audio_features,5u3kqlS7OaVttvXw3NkhdH,spotify:track:5u3kqlS7OaVttvXw3NkhdH,https://api.spotify.com/v1/tracks/5u3kqlS7OaVttvXw3NkhdH,https://api.spotify.com/v1/audio-analysis/5u3kqlS7OaVttvXw3NkhdH,180750.0,4.0
756,All Talk,Cate,6,0.527,0.497,0.0,-7.398,1.0,0.168,0.77,0.0,0.0712,0.42,105.815,audio_features,06V5NfPQX5TKp05wwOCZXc,spotify:track:06V5NfPQX5TKp05wwOCZXc,https://api.spotify.com/v1/tracks/06V5NfPQX5TKp05wwOCZXc,https://api.spotify.com/v1/audio-analysis/06V5NfPQX5TKp05wwOCZXc,141561.0,4.0
757,rest in peace,BLÜ EYES,6,0.631,0.452,2.0,-10.561,1.0,0.063,0.492,0.0,0.246,0.412,143.989,audio_features,20ACQf24bEwSVnKAhVfH5u,spotify:track:20ACQf24bEwSVnKAhVfH5u,https://api.spotify.com/v1/tracks/20ACQf24bEwSVnKAhVfH5u,https://api.spotify.com/v1/audio-analysis/20ACQf24bEwSVnKAhVfH5u,191911.0,4.0
758,August,Kathleen,6,0.542,0.184,9.0,-8.668,1.0,0.0356,0.628,0.0,0.111,0.0874,128.17,audio_features,4b95GcTwcYLGKcoQm4ESDm,spotify:track:4b95GcTwcYLGKcoQm4ESDm,https://api.spotify.com/v1/tracks/4b95GcTwcYLGKcoQm4ESDm,https://api.spotify.com/v1/audio-analysis/4b95GcTwcYLGKcoQm4ESDm,147046.0,4.0
759,To Build A Home,The Cinematic Orchestra,6,0.264,0.128,9.0,-15.443,1.0,0.034,0.885,0.352,0.105,0.0774,148.499,audio_features,3AqPL1n1wKc5DVFFnYuJhp,spotify:track:3AqPL1n1wKc5DVFFnYuJhp,https://api.spotify.com/v1/tracks/3AqPL1n1wKc5DVFFnYuJhp,https://api.spotify.com/v1/audio-analysis/3AqPL1n1wKc5DVFFnYuJhp,370667.0,4.0
760,Make Us Never Happen,shy martin,6,0.61,0.489,10.0,-8.541,0.0,0.127,0.308,0.0,0.165,0.331,105.016,audio_features,03ARE7xKtbCVV2GE5j0IWq,spotify:track:03ARE7xKtbCVV2GE5j0IWq,https://api.spotify.com/v1/tracks/03ARE7xKtbCVV2GE5j0IWq,https://api.spotify.com/v1/audio-analysis/03ARE7xKtbCVV2GE5j0IWq,171890.0,4.0
761,Through To You,Glades,6,0.709,0.24,5.0,-9.307,1.0,0.0306,0.683,0.0,0.0985,0.135,134.944,audio_features,22VCdnULqMOl7J9VOB3YTk,spotify:track:22VCdnULqMOl7J9VOB3YTk,https://api.spotify.com/v1/tracks/22VCdnULqMOl7J9VOB3YTk,https://api.spotify.com/v1/audio-analysis/22VCdnULqMOl7J9VOB3YTk,205627.0,4.0
762,Known Like This,Ben Kessler,6,0.349,0.46,2.0,-9.67,1.0,0.107,0.163,1.06e-06,0.173,0.443,79.231,audio_features,2Hy9CEkP5PdNJE6GLA9Alw,spotify:track:2Hy9CEkP5PdNJE6GLA9Alw,https://api.spotify.com/v1/tracks/2Hy9CEkP5PdNJE6GLA9Alw,https://api.spotify.com/v1/audio-analysis/2Hy9CEkP5PdNJE6GLA9Alw,203294.0,4.0
763,Someone Like You,Adele,6,0.556,0.319,9.0,-8.251,1.0,0.0281,0.893,0.0,0.0996,0.294,135.187,audio_features,1zwMYTA5nlNjZxYrvBB2pV,spotify:track:1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/tracks/1zwMYTA5nlNjZxYrvBB2pV,https://api.spotify.com/v1/audio-analysis/1zwMYTA5nlNjZxYrvBB2pV,285240.0,4.0
764,Someone To You,BANNERS,6,0.52,0.903,2.0,-5.497,1.0,0.042,0.00517,0.0,0.254,0.652,74.988,audio_features,2f0pn9DkEJwAzXApnFh5cr,spotify:track:2f0pn9DkEJwAzXApnFh5cr,https://api.spotify.com/v1/tracks/2f0pn9DkEJwAzXApnFh5cr,https://api.spotify.com/v1/audio-analysis/2f0pn9DkEJwAzXApnFh5cr,219801.0,4.0
